site_id,time,rh
584987,2023-08-26 10:20:00,54.0
584987,2023-08-26 10:30:00,55.0
584987,2023-08-26 10:40:00,56.0
584987,2023-08-26 10:50:00,57.0
584987,2023-08-26 11:00:00,58.0
584987,2023-08-26 11:10:00,59.0
584987,2023-08-26 11:20:00,60.0
584987,2023-08-26 11:30:00,61.0
584987,2023-08-26 11:40:00,62.0
584987,2023-08-26 11:50:00,63.0
584987,2023-08-26 12:00:00,64.0
584987,2023-08-26 12:10:00,64.83333333333333
584987,2023-08-26 12:20:00,65.66666666666667
584987,2023-08-26 12:30:00,66.5
584987,2023-08-26 12:40:00,67.33333333333333
584987,2023-08-26 12:50:00,68.16666666666667
584987,2023-08-26 13:00:00,69.0
584987,2023-08-26 13:10:00,69.83333333333333
584987,2023-08-26 13:20:00,70.66666666666667
584987,2023-08-26 13:30:00,71.5
584987,2023-08-26 13:40:00,72.33333333333333
584987,2023-08-26 13:50:00,73.16666666666667
584987,2023-08-26 14:00:00,74.0
584987,2023-08-26 14:10:00,74.66666666666667
584987,2023-08-26 14:20:00,75.33333333333333
584987,2023-08-26 14:30:00,76.0
584987,2023-08-26 14:40:00,76.66666666666667
584987,2023-08-26 14:50:00,77.33333333333333
584987,2023-08-26 15:00:00,78.0
584987,2023-08-26 15:10:00,78.33333333333333
584987,2023-08-26 15:20:00,78.66666666666667
584987,2023-08-26 15:30:00,79.0
584987,2023-08-26 15:40:00,79.33333333333333
584987,2023-08-26 15:50:00,79.66666666666667
584987,2023-08-26 16:00:00,80.0
584987,2023-08-26 16:10:00,80.33333333333333
584987,2023-08-26 16:20:00,80.66666666666667
584987,2023-08-26 16:30:00,81.0
584987,2023-08-26 16:40:00,81.33333333333333
584987,2023-08-26 16:50:00,81.66666666666667
584987,2023-08-26 17:00:00,82.0
584987,2023-08-26 17:10:00,82.33333333333333
584987,2023-08-26 17:20:00,82.66666666666667
584987,2023-08-26 17:30:00,83.0
584987,2023-08-26 17:40:00,83.33333333333333
584987,2023-08-26 17:50:00,83.66666666666667
584987,2023-08-26 18:00:00,84.0
584987,2023-08-26 18:10:00,84.66666666666667
584987,2023-08-26 18:20:00,85.33333333333333
584987,2023-08-26 18:30:00,86.0
584987,2023-08-26 18:40:00,86.66666666666667
584987,2023-08-26 18:50:00,87.33333333333333
584987,2023-08-26 19:00:00,88.0
584987,2023-08-26 19:10:00,88.5
584987,2023-08-26 19:20:00,89.0
584987,2023-08-26 19:30:00,89.5
584987,2023-08-26 19:40:00,90.0
584987,2023-08-26 19:50:00,90.5
584987,2023-08-26 20:00:00,91.0
584987,2023-08-26 20:10:00,90.16666666666667
584987,2023-08-26 20:20:00,89.33333333333333
584987,2023-08-26 20:30:00,88.5
584987,2023-08-26 20:40:00,87.66666666666667
584987,2023-08-26 20:50:00,86.83333333333333
584987,2023-08-26 21:00:00,86.0
584987,2023-08-26 21:10:00,83.66666666666667
584987,2023-08-26 21:20:00,81.33333333333333
584987,2023-08-26 21:30:00,79.0
584987,2023-08-26 21:40:00,76.66666666666667
584987,2023-08-26 21:50:00,74.33333333333333
584987,2023-08-26 22:00:00,72.0
584987,2023-08-26 22:10:00,69.16666666666667
584987,2023-08-26 22:20:00,66.33333333333333
584987,2023-08-26 22:30:00,63.5
584987,2023-08-26 22:40:00,60.666666666666664
584987,2023-08-26 22:50:00,57.83333333333333
584987,2023-08-26 23:00:00,55.0
584987,2023-08-26 23:10:00,52.833333333333336
584987,2023-08-26 23:20:00,50.666666666666664
584987,2023-08-26 23:30:00,48.5
584987,2023-08-26 23:40:00,46.333333333333336
584987,2023-08-26 23:50:00,44.166666666666664
584987,2023-08-27 00:00:00,42.0
584987,2023-08-27 00:10:00,40.166666666666664
584987,2023-08-27 00:20:00,38.333333333333336
584987,2023-08-27 00:30:00,36.5
584987,2023-08-27 00:40:00,34.666666666666664
584987,2023-08-27 00:50:00,32.833333333333336
584987,2023-08-27 01:00:00,31.0
584987,2023-08-27 01:10:00,29.666666666666668
584987,2023-08-27 01:20:00,28.333333333333332
584987,2023-08-27 01:30:00,27.0
584987,2023-08-27 01:40:00,25.666666666666664
584987,2023-08-27 01:50:00,24.333333333333332
584987,2023-08-27 02:00:00,23.0
584987,2023-08-27 02:10:00,22.333333333333332
584987,2023-08-27 02:20:00,21.666666666666668
584987,2023-08-27 02:30:00,21.0
584987,2023-08-27 02:40:00,20.333333333333332
584987,2023-08-27 02:50:00,19.666666666666668
584987,2023-08-27 03:00:00,19.0
584987,2023-08-27 03:10:00,19.0
584987,2023-08-27 03:20:00,19.0
584987,2023-08-27 03:30:00,19.0
584987,2023-08-27 03:40:00,19.0
584987,2023-08-27 03:50:00,19.0
584987,2023-08-27 04:00:00,19.0
584987,2023-08-27 04:10:00,19.5
584987,2023-08-27 04:20:00,20.0
584987,2023-08-27 04:30:00,20.5
584987,2023-08-27 04:40:00,21.0
584987,2023-08-27 04:50:00,21.5
584987,2023-08-27 05:00:00,22.0
584987,2023-08-27 05:10:00,22.666666666666668
584987,2023-08-27 05:20:00,23.333333333333332
584987,2023-08-27 05:30:00,24.0
584987,2023-08-27 05:40:00,24.666666666666668
584987,2023-08-27 05:50:00,25.333333333333332
584987,2023-08-27 06:00:00,26.0
584987,2023-08-27 06:10:00,26.833333333333332
584987,2023-08-27 06:20:00,27.666666666666668
584987,2023-08-27 06:30:00,28.5
584987,2023-08-27 06:40:00,29.333333333333332
584987,2023-08-27 06:50:00,30.166666666666668
584987,2023-08-27 07:00:00,31.0
584987,2023-08-27 07:10:00,32.166666666666664
584987,2023-08-27 07:20:00,33.333333333333336
584987,2023-08-27 07:30:00,34.5
584987,2023-08-27 07:40:00,35.666666666666664
584987,2023-08-27 07:50:00,36.833333333333336
584987,2023-08-27 08:00:00,38.0
584987,2023-08-27 08:10:00,39.333333333333336
584987,2023-08-27 08:20:00,40.666666666666664
584987,2023-08-27 08:30:00,42.0
584987,2023-08-27 08:40:00,43.333333333333336
584987,2023-08-27 08:50:00,44.666666666666664
584987,2023-08-27 09:00:00,46.0
584987,2023-08-27 09:10:00,47.166666666666664
584987,2023-08-27 09:20:00,48.333333333333336
584987,2023-08-27 09:30:00,49.5
584987,2023-08-27 09:40:00,50.666666666666664
584987,2023-08-27 09:50:00,51.833333333333336
584987,2023-08-27 10:00:00,53.0
584987,2023-08-27 10:10:00,53.833333333333336
584987,2023-08-27 10:20:00,54.666666666666664
584987,2023-08-27 10:30:00,55.5
584987,2023-08-27 10:40:00,56.333333333333336
584987,2023-08-27 10:50:00,57.166666666666664
584987,2023-08-27 11:00:00,58.0
584987,2023-08-27 11:10:00,58.833333333333336
584987,2023-08-27 11:20:00,59.666666666666664
584987,2023-08-27 11:30:00,60.5
584987,2023-08-27 11:40:00,61.333333333333336
584987,2023-08-27 11:50:00,62.166666666666664
584987,2023-08-27 12:00:00,63.0
584987,2023-08-27 12:10:00,63.666666666666664
584987,2023-08-27 12:20:00,64.33333333333333
584987,2023-08-27 12:30:00,65.0
584987,2023-08-27 12:40:00,65.66666666666667
584987,2023-08-27 12:50:00,66.33333333333333
584987,2023-08-27 13:00:00,67.0
584987,2023-08-27 13:10:00,67.5
584987,2023-08-27 13:20:00,68.0
584987,2023-08-27 13:30:00,68.5
584987,2023-08-27 13:40:00,69.0
584987,2023-08-27 13:50:00,69.5
584987,2023-08-27 14:00:00,70.0
584987,2023-08-27 14:10:00,70.5
584987,2023-08-27 14:20:00,71.0
584987,2023-08-27 14:30:00,71.5
584987,2023-08-27 14:40:00,72.0
584987,2023-08-27 14:50:00,72.5
584987,2023-08-27 15:00:00,73.0
584987,2023-08-27 15:10:00,73.5
584987,2023-08-27 15:20:00,74.0
584987,2023-08-27 15:30:00,74.5
584987,2023-08-27 15:40:00,75.0
584987,2023-08-27 15:50:00,75.5
584987,2023-08-27 16:00:00,76.0
584987,2023-08-27 16:10:00,76.5
584987,2023-08-27 16:20:00,77.0
584987,2023-08-27 16:30:00,77.5
584987,2023-08-27 16:40:00,78.0
